1949,1821
1843,1835
2140,1850
2318,1822
2608,2609
2236,2091
1829,2042
2973,2975
2318,1868
1927,1798
2040,1828
2790,2509
2209,1798
2075,3245
1822,1821
1949,2040
3342,2295
1910,1821
2818,3315
2740,2742
2318,2488
1821,1835
2058,1990
1792,2154
2600,2598
1822,1828
2628,1798
2209,2628
2305,2301
1910,1828
2176,1929
2236,2250
2628,1927
2318,2203
2236,2975
1869,3245
1822,2040
1910,1843
1792,3107
2215,2298
2608,1841
2609,1841
2488,1822
1819,2040
2075,2058
1847,1821
1847,1828
2040,1847
1999,2487
2250,2973
3143,2790
2209,2158
3388,3387
2995,2264
2180,2236
2886,2885
2318,2295
2022,2140
2236,2014
2680,2777
3143,2509
1858,1897
3382,3383
3185,3186
2286,2917
1843,1847
1910,2040
2316,2306
1822,1843
2042,2243
1840,1907
1830,2162
2158,2628
1884,2132
3029,1812
1992,2238
3180,2121
3019,2145
2542,2541
2051,2142
3212,2031
3305,1799
2804,2176
2860,2729
2031,2121
3332,2540
1836,1949
3332,2031
3332,2228
2020,2169
1906,2976
3280,2113
1898,2505
2047,1884
2728,2729
2993,3186
1808,2540
3118,3186
2449,2871
3212,2671
3337,3254
2047,2132
2860,1862
2113,2190
2037,2143
2864,2540
1825,1949
2051,2034
1927,2223
1902,2176
2804,2793
1792,2540
1950,1862
2040,2295
1929,2114
2031,2540
2090,2163
3212,3213
2020,2105
1792,2159
2043,2540
3280,1899
2407,1908
2818,2680
1929,2505
3390,3388
2083,1927
1884,2540
3118,3212
2485,2124
3183,3185
1968,1961
3118,3332
2215,2319
2215,2066
2676,2436
2113,2111
2335,2818
3389,3388
3302,2613
2169,2105
2612,3232
3388,3391
1966,2505
1807,1829
1951,1856
2051,1856
2051,1951
1884,2159
1971,2243
3387,3391
3118,2031
3118,2135
2864,2238
3255,3254
2120,1961
2066,2298
3340,1975
2729,1950
2120,2236
2049,2591
2729,1862
3390,3387
3118,2080
3356,2592
2295,1828
2040,2319
2120,2014
2599,2863
3389,3391
2052,2042
2116,2089
3386,3355
2365,2972
2298,2319
3414,3415
1978,1986
2236,1961
3413,3404
3413,3034
3413,3376
3414,3034
3404,3034
2236,2042
2075,2154
1966,2593
2837,2818
1869,2154
3415,3404
1869,3107
2696,2695
2480,2040
2055,2545
3376,3415
2605,2612
3414,3376
3413,3415
2075,3107
3415,3034
2995,2134
3376,3034
1908,2729
3413,3414
2480,1821
1899,1928
3414,3404
2480,1847
1807,2236
3376,3404
2499,3264
2480,1835
3287,2238
3245,2190
2228,3186
2045,1893
2606,2605
1900,3332
2086,2238
3381,3332
1887,2540
1822,2319
3390,3391
2843,3355
2139,1952
1928,2107
3226,3211
1820,1821
2045,2155
2022,2238
2042,1884
2857,2890
1888,2135
3184,3380
2605,1930
1807,2042
2311,2339
2022,2086
2996,3332
1952,3057
1900,3212
3332,2603
2684,2683
2936,2605
